url,volume,market_cap,company,symbol,news_url
/equities/godrej-industries,45657,3.2835E+11,Godrej Industries,GODI,/equities/godrej-industries-news
/equities/thermax,166507,3.2623E+11,Thermax,THMX,/equities/thermax-news
/equities/jubilant-foodworks,3196265,3.2597E+11,Jubilant FoodWorks Ltd,JUBI,/equities/jubilant-foodworks-news
/equities/magma-fincorp-ltd,847134,3.2395E+11,Poonawalla Fincorp,POON,/equities/magma-fincorp-ltd-news
/equities/premier-energies,1216991,3.2339E+11,Premier Energies,PEME,/equities/premier-energies-news
/equities/mindspace-business-parks-reits,139031,3.2157E+11,Mindspace Business,MINS,/equities/mindspace-business-parks-reits-news
/equities/apar-industries-ltd,131711,3.2131E+11,Apar Industries Ltd,APAR,/equities/apar-industries-ltd-news
/equities/godfrey-phillips-india,362733,3.172E+11,Godfrey Phillips India,GDFR,/equities/godfrey-phillips-india-news
/equities/garden-reach-shipbuilders,5213657,3.1469E+11,Garden Reach,GRSE,/equities/garden-reach-shipbuilders-news
/equities/tata-investment-corporation,582153,3.1445E+11,Tata Investment,TINV,/equities/tata-investment-corporation-news
/equities/apollo-tyres,521470,3.1298E+11,Apollo Tyres,APLO,/equities/apollo-tyres-news
/equities/navin-fluorine-international,200809,3.1094E+11,Navin Fluorine,NAFL,/equities/navin-fluorine-international-news
/equities/tube-investments-of-india,251719,3.1055E+11,Cholamandalam Financial,CHOL,/equities/tube-investments-of-india-news
/equities/sundaram-clayton-ltd,7892,3.0933E+11,TVS Holdings,TVSH,/equities/sundaram-clayton-ltd-news
